,gbkcbfl,gbkolfl,glfcfl,gmolfl,gmtcfl,grtcfl,h1dncfl,h2dncfl,h2upcfl,hbkcbfl,hmcbfl,holfl,hrtc1fl,hrtc2fl,lbrfl,lbu1fli,lbufl,linvfl,linvfli,lmcbfl,lmrtfl,ovrldfl,smcbfl,solfl,srtcfl
gbkcbfl,1.0,-0.1079,0.6716,-0.7423,0.0283,-0.1051,-0.4117,-0.7561,-0.4876,-0.1456,-0.2458,0.1448,-0.6899,-0.8423,-0.6466,0.7524,0.5577,0.701,0.6588,-0.0577,-0.6337,-0.2732,0.0648,0.6961,0.1643
gbkolfl,-0.1079,1.0,-0.082,-0.0416,0.9636,-0.0683,-0.8458,0.2303,0.7098,-0.3683,-0.3578,0.9583,-0.328,-0.031,-0.1166,0.1553,0.7373,-0.0712,0.1532,-0.1561,0.2743,-0.6455,-0.8124,-0.3615,0.6905
glfcfl,0.6716,-0.082,1.0,-0.1802,0.099,0.5042,-0.3641,-0.0509,-0.0851,-0.7688,-0.096,0.1885,-0.2767,-0.3517,-0.0403,0.2023,0.5245,0.0845,-0.0843,0.2716,-0.9089,-0.6818,0.4514,0.1838,0.4315
gmolfl,-0.7423,-0.0416,-0.1802,1.0,-0.1876,0.1102,0.4139,0.8842,0.6556,-0.2378,-0.1752,-0.1544,0.3935,0.9832,0.4713,-0.9923,-0.4302,-0.9877,-0.7612,-0.2053,0.3497,-0.0128,0.3918,-0.3807,-0.2795
gmtcfl,0.0283,0.9636,0.099,-0.1876,1.0,0.1351,-0.9194,0.1684,0.578,-0.4882,-0.1969,0.967,-0.2749,-0.1954,-0.0344,0.295,0.8249,0.0577,0.1294,0.0667,0.0328,-0.7472,-0.7641,-0.4124,0.8535
grtcfl,-0.1051,-0.0683,0.5042,0.1102,0.1351,1.0,-0.0525,0.4527,-0.0267,-0.6555,0.672,-0.007,0.6343,0.0494,0.8123,-0.1278,0.0532,-0.1774,-0.7084,0.8938,-0.6792,-0.4363,0.3415,-0.6786,0.5896
h1dncfl,-0.4117,-0.8458,-0.3641,0.4139,-0.9194,-0.0525,1.0,0.1135,-0.3848,0.5234,0.3401,-0.9513,0.5553,0.4668,0.3095,-0.52,-0.9775,-0.2776,-0.3687,0.0193,0.1993,0.8074,0.6524,0.0791,-0.8193
h2dncfl,-0.7561,0.2303,-0.0509,0.8842,0.1684,0.4527,0.1135,1.0,0.7455,-0.5122,0.0478,0.1255,0.5303,0.8632,0.7097,-0.8547,-0.1728,-0.9261,-0.8845,0.1411,0.1638,-0.3187,0.1973,-0.7275,0.1771
h2upcfl,-0.4876,0.7098,-0.0851,0.6556,0.578,-0.0267,-0.3848,0.7455,1.0,-0.493,-0.514,0.6363,-0.1007,0.6287,0.131,-0.5584,0.3213,-0.7382,-0.3556,-0.3514,0.3963,-0.5507,-0.2851,-0.4143,0.2999
hbkcbfl,-0.1456,-0.3683,-0.7688,-0.2378,-0.4882,-0.6555,0.5234,-0.5122,-0.493,1.0,0.1105,-0.5233,0.0356,-0.0945,-0.3123,0.1713,-0.5847,0.3743,0.4611,-0.3024,0.6017,0.9227,-0.1898,0.3587,-0.699
